#{"t_start": 1607701159.831746, "env_id": null}
r,l,t
-5.203793,500,0.556181
8.820286,500,1.061102
-45.071339,500,408.872191
-46.442689,500,409.392363
2.448028,500,1178.119958
-0.822613,500,1178.643989
-27.858222,500,1942.430283
9.106836,500,1942.95641
-83.018741,500,2746.667688
-76.450438,500,2747.168597
-77.27206,500,3549.436546
-100.283359,500,3549.955085
-81.254628,500,4341.526474
-132.7207,500,4342.066624
-79.022868,500,5144.896155
-91.378739,500,5145.406415
-72.925488,500,5922.564188
-60.827665,500,5923.051094
-65.306062,500,6703.396883
-56.595058,500,6703.898058
